"species_code","year","species","mu_hl_sx_n","max_hl_sx_n","total_n"
10210,2019,"yellowfin sole",94.5222222222222,300,25768
10261,2019,"northern rock sole",66.953125,334,23231
21740,2019,"walleye pollock",105.008,272,42795
10130,2019,"flathead sole",60.7737003058104,244,20993
10285,2019,"Alaska plaice",32.2517985611511,219,9080
21720,2019,"Pacific cod",30.3722826086957,228,11288
10110,2019,"arrowtooth flounder",49.4494773519164,246,14349
10261,2018,"northern rock sole",64.4188481675393,329,28397
21720,2018,"Pacific cod",27.2676399026764,272,11317
10210,2018,"yellowfin sole",101.501628664495,304,31584
21740,2018,"walleye pollock",119.1103117506,406,56799
10110,2018,"arrowtooth flounder",57.0640243902439,385,18756
10130,2018,"flathead sole",70.2991202346041,330,26837
10285,2018,"Alaska plaice",43.16,297,14030
21740,2017,"walleye pollock",120.268229166667,327,49037
10130,2017,"flathead sole",62.5622895622896,294,19238
10112,2017,"Kamchatka flounder",13.5897435897436,95,2654
10115,2017,"Greenland turbot",5.56716417910448,25,373
21720,2017,"Pacific cod",30.2525773195876,237,11827
10285,2017,"Alaska plaice",30.4525547445255,209,8347
10261,2017,"northern rock sole",66.8814589665653,388,22466
10110,2017,"arrowtooth flounder",49.6,307,11679
10210,2017,"yellowfin sole",97.1485507246377,298,26973
10112,2018,"Kamchatka flounder",9.75812274368231,95,2743
10115,2018,"Greenland turbot",3.19753086419753,16,259
10112,2019,"Kamchatka flounder",9.30952380952381,127,1966
10115,2019,"Greenland turbot",2.47761194029851,13,166
