Species,AI,EBS,GOA
Alaska plaice,--,101 - 708,--
arrowtooth flounder,"189 - 1,237","361 - 2,048","1,661 - 8,325"
Atka mackerel,"149 - 1,701",--,--
flathead sole,72 - 612,"523 - 3,541","219 - 2,211"
Kamchatka flounder,--,0 - 27,--
northern rock sole,--,"792 - 4,399",65 - 352
northern rockfish,"719 - 4,765",--,20 - 480
Pacific cod,122 - 480,121 - 818,19 - 140
Pacific ocean perch,"2,042 - 11,801",--,"888 - 7,339"
rex sole,--,--,39 - 786
sablefish,--,--,56 - 779
shortspine thornyhead,0 - 221,--,23 - 119
southern rock sole,--,--,14 - 417
walleye pollock,"573 - 2,474","2,882 - 14,479","1,885 - 4,659"
yellowfin sole,--,"1,024 - 6,337",--
Total,"3,866 - 23,291","5,804 - 32,357","4,889 - 25,694"
